,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship
0,34256,South City,27,298,0,Yash Institute of Pharmacy waluj road Aurangabad,189205,19.530001,75.230001,1
1,55441,DHANBAD,20,212,0,"Binod bihari Mahato Memorial teachers Training College, Sahu Bahiyar, Topchanchi, Dhanbad,(Jh)",209799,23.897079,86.22571399999998,1
2,22449,Tohana,6,160,2,"Defence College of Educaton, Tohana",209800,29.661677,75.835685,1
3,13438,DHAMPUR,9,525,0,"Dhampur Degree College, Dhampur",209801,29.364001,78.4690001,0
4,13376,dhampur,9,525,0,"Dhampur Law College, Dhampur",209802,29.3690001,78.46900019999998,0
6,51928,BIHARSHARIF,10,69,0,J. P. SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA,209804,25.19312,85.49297199999998,0
7,55446,BOKARO,20,212,0,N.P TEACHERS TRAINING COLLEGE,209806,23.6500001,86.1800001,0
11,54826,AGRA,9,509,0,"SHRI BHAWANI SINGH MAHAVIDHYALAYA, TERI BAGIYA",210005,27.234609999999996,78.04523799999998,1
12,52242,RAIPUR,22,81,2,COLUMBIA COLLEGE OF NURSING,209809,21.19001,81.42001,0
14,46142,HAPUR,9,549,3,"RAJ KUMAR GOEL ENGINEERING COLLEGE, PILKHUWA, GHAZIABAD",209807,28.27001,77.12001,1
15,22423,Sirsa,6,160,1,"Sanatan Dharam Sanskrit Mahavidyalya, Sirsa",209810,23.25673,68.250001,1
17,44392,DEOGHAR,20,212,0,"BALANAND SANSKRIT COLLEGE, DEOGHAR",210007,24.31001,86.42001,0
18,50846,osian,8,399,0,SHREE SACHIYAY SANKALP ADARSH MAHAVIDHYALAYA,209815,26.723626,72.899822,0
23,27427,PALONCHA,36,19,0,"KLR College of Business Management, Paloncha",209818,17.59491246,80.66633785,1
27,17636,Jamui.,10,76,2,"KKM College, Jamui",209819,24.915995,86.2260131,1
28,28261,Rohtak,6,167,2,SHRI BABA MASTH NATH INSTITUTE OF EDUCATIONAL TRANING & RESEARCH,209817,28.890742,76.57992,1
31,27972,pathankot,3,376,0,"JDS College of Education, Vill. Kot, Tehsil Thar Kalan, Gurdaspur.",209821,32.280001,75.650001,0
37,27960,Batala,3,376,0,"B.U.C. College,  Batala",209823,31.790121,75.2159878,1
44,22414,FATEHABAD,6,160,1,"M.M. College of Education, Sirsa Road, Fatehabad",209824,29.515956,75.441574,1
46,36711,TEHSIL-RAJGARH,8,406,0,"B.R.M.R. Girls College, Shyopura, PO.- Lasedi",209986,25.67282,76.69612999999998,1
63,47668,Mathura,9,509,3,"ISHWAR CHANDRA VIDHYASAGAR INSTITUTE OF MANAGEMANT, AKABARPUR, MATHURA",209987,27.735452,77.725178,0
67,6892,"SAVLI, VADODARA - 391770",24,138,1,GUJARAT HOMOEPETHIC MEDICAL COLLEGE SAVLI,157036,23.25372,75.25672,1
