,Unnamed: 0,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers,sum
0,0,185131,1.0,3.0,1.0,0.0,1.0,6.0
1,1,202094,1.0,0.0,0.0,0.0,1.0,2.0
2,2,197414,1.0,1.0,1.0,1.0,1.0,5.0
3,3,164444,1.0,4.0,1.0,0.0,1.0,7.0
4,4,188887,1.0,0.0,1.0,1.0,1.0,4.0
5,5,188931,1.0,1.0,1.0,1.0,1.0,5.0
6,6,188686,1.0,1.0,1.0,0.0,1.0,4.0
7,7,155132,1.0,1.0,0.0,1.0,1.0,4.0
8,8,187342,1.0,23.0,1.0,0.0,1.0,26.0
9,9,160071,1.0,1.0,1.0,0.0,1.0,4.0
10,10,166302,1.0,8.0,1.0,1.0,1.0,12.0
11,11,168846,1.0,0.0,1.0,0.0,0.0,2.0
12,12,190267,1.0,0.0,1.0,0.0,0.0,2.0
13,13,181095,1.0,1.0,1.0,0.0,1.0,4.0
14,14,182704,1.0,74.0,8.0,1.0,1.0,85.0
15,15,191210,1.0,1.0,1.0,0.0,1.0,4.0
16,16,171091,1.0,4.0,1.0,0.0,1.0,7.0
17,17,198337,1.0,1.0,1.0,0.0,1.0,4.0
18,18,170897,1.0,25.0,0.0,1.0,1.0,28.0
19,19,197882,1.0,0.0,1.0,0.0,1.0,3.0
20,20,169402,1.0,1.0,1.0,0.0,1.0,4.0
21,21,162280,1.0,1.0,1.0,1.0,1.0,5.0
22,22,186304,1.0,1.0,0.0,0.0,1.0,3.0
23,23,180613,0.0,0.0,0.0,0.0,0.0,0.0
24,24,207431,1.0,1.0,0.0,0.0,0.0,2.0
25,25,178784,1.0,51.0,4.0,1.0,1.0,58.0
26,26,202695,1.0,1.0,1.0,0.0,0.0,3.0
27,27,184807,1.0,11.0,1.0,0.0,2.0,15.0
28,28,194406,1.0,70.0,1.0,1.0,1.0,74.0
29,29,191259,1.0,28.0,1.0,1.0,1.0,32.0
30,30,205066,1.0,1.0,1.0,1.0,1.0,5.0
31,31,157392,1.0,1.0,1.0,0.0,1.0,4.0
32,32,205904,1.0,1.0,1.0,0.0,1.0,4.0
33,33,174117,1.0,1.0,0.0,0.0,1.0,3.0
34,34,170691,1.0,4.0,1.0,0.0,1.0,7.0
35,35,165210,1.0,33.0,1.0,0.0,1.0,36.0
36,36,205061,1.0,1.0,1.0,1.0,1.0,5.0
37,37,157075,1.0,1.0,0.0,0.0,1.0,3.0
38,38,157477,1.0,1.0,1.0,0.0,1.0,4.0
39,39,156416,1.0,1.0,0.0,0.0,1.0,3.0
40,40,155964,1.0,1.0,0.0,1.0,1.0,4.0
41,41,190814,1.0,1.0,1.0,1.0,1.0,5.0
42,42,171412,1.0,0.0,1.0,1.0,1.0,4.0
43,43,168338,1.0,1.0,1.0,1.0,1.0,5.0
44,44,171502,1.0,1.0,1.0,0.0,1.0,4.0
45,45,170590,1.0,1.0,1.0,0.0,1.0,4.0
46,46,166642,1.0,1.0,1.0,1.0,1.0,5.0
47,47,202709,1.0,1.0,0.0,0.0,1.0,3.0
48,48,209110,0.0,0.0,0.0,0.0,0.0,0.0
49,49,165813,1.0,0.0,0.0,0.0,1.0,2.0
50,50,170944,1.0,1.0,0.0,1.0,1.0,4.0
51,51,160464,1.0,6.0,1.0,0.0,2.0,10.0
52,52,162296,1.0,1.0,1.0,0.0,1.0,4.0
53,53,158301,1.0,2.0,1.0,0.0,1.0,5.0
54,54,169542,1.0,0.0,0.0,0.0,1.0,2.0
55,55,189951,1.0,1.0,1.0,0.0,0.0,3.0
56,56,190400,1.0,1.0,1.0,0.0,0.0,3.0
57,57,196854,1.0,1.0,1.0,0.0,0.0,3.0
58,58,162412,1.0,1.0,1.0,0.0,1.0,4.0
59,59,162584,1.0,1.0,0.0,0.0,1.0,3.0
60,60,173045,1.0,1.0,0.0,0.0,1.0,3.0
61,61,198348,1.0,1.0,1.0,0.0,1.0,4.0
62,62,171187,1.0,9.0,1.0,0.0,1.0,12.0
63,63,196485,1.0,0.0,0.0,0.0,0.0,1.0
64,64,204270,1.0,0.0,0.0,0.0,1.0,2.0
65,65,187989,1.0,0.0,1.0,1.0,1.0,4.0
66,66,176793,1.0,1.0,1.0,1.0,1.0,5.0
67,67,164608,1.0,0.0,0.0,0.0,0.0,1.0
68,68,193878,1.0,2.0,1.0,0.0,1.0,5.0
69,69,183918,1.0,1.0,1.0,1.0,1.0,5.0
70,70,179343,1.0,0.0,1.0,0.0,0.0,2.0
71,71,207034,1.0,1.0,1.0,0.0,1.0,4.0
72,72,186894,1.0,1.0,1.0,0.0,1.0,4.0
73,73,190371,1.0,1.0,1.0,1.0,1.0,5.0
74,74,158730,1.0,1.0,1.0,0.0,1.0,4.0
75,75,175538,1.0,0.0,1.0,0.0,1.0,3.0
76,76,187671,1.0,1.0,1.0,1.0,1.0,5.0
77,77,182955,1.0,1.0,0.0,0.0,1.0,3.0
78,78,178568,1.0,1.0,1.0,1.0,1.0,5.0
79,79,200354,1.0,1.0,0.0,0.0,1.0,3.0
80,80,186618,1.0,1.0,1.0,1.0,1.0,5.0
81,81,178138,1.0,1.0,1.0,1.0,1.0,5.0
82,82,179347,1.0,25.0,1.0,1.0,1.0,29.0
83,83,199118,1.0,2.0,0.0,0.0,1.0,4.0
84,84,166176,4.0,1.0,0.0,0.0,0.0,5.0
85,85,174679,1.0,1.0,0.0,0.0,1.0,3.0
86,86,197042,1.0,1.0,1.0,0.0,1.0,4.0
87,87,202678,1.0,1.0,1.0,1.0,1.0,5.0
88,88,174413,1.0,1.0,1.0,1.0,1.0,5.0
89,89,169842,1.0,0.0,0.0,0.0,0.0,1.0
90,90,180913,1.0,1.0,1.0,1.0,1.0,5.0
91,91,167177,1.0,1.0,0.0,0.0,1.0,3.0
92,92,208068,1.0,1.0,1.0,1.0,1.0,5.0
93,93,170250,1.0,1.0,1.0,0.0,1.0,4.0
94,94,177674,1.0,1.0,0.0,0.0,1.0,3.0
95,95,208799,0.0,0.0,0.0,0.0,0.0,0.0
